country,iso code,observations,money growth,inflation,gdp growth,income group,oecd
"Iran, Islamic Rep.",IRN,31.0,0.2668533165151581,0.21403512849583017,0.03334854876103677,middle,no
Iraq,IRQ,18.0,0.1433030759144287,0.06468635011832569,0.04003540179290277,middle,no
Israel,ISR,27.0,0.08535134848044446,0.024487712529670747,0.03839629774823905,high,yes
Jamaica,JAM,57.0,0.17617380320216935,0.14086702121607564,0.013231884364794277,middle,no
Japan,JPN,63.0,0.08891667692656013,0.0246115542614056,0.033525934140660185,high,yes
Jordan,JOR,47.0,0.1061019763274682,0.04593872502997742,0.04485017481536757,middle,no
Kazakhstan,KAZ,30.0,0.333154603301709,0.2745595930979954,0.03904791726298562,middle,no
Kenya,KEN,56.0,0.1527682103554151,0.09278427946507461,0.044535144039977936,middle,no
"Korea, Rep.",KOR,63.0,0.20960649325092362,0.08130984202025981,0.07032131593996449,high,yes
Kosovo,XKX,15.0,0.09480462616591856,0.02514533979880973,0.042378199935603655,middle,no
Kuwait,KWT,29.0,0.06890434083732466,0.024193687135215525,0.038129393070371886,high,no
Kyrgyz Republic,KGZ,28.0,0.2067322035321595,0.11412567361457371,0.04251850952698799,middle,no
Lao PDR,LAO,22.0,0.3466638568380862,0.18696851769528622,0.06650733848148871,middle,no
Lebanon,LBN,30.0,0.17037100811262484,0.09951053031355372,0.046772585488050966,middle,no
Lesotho,LSO,41.0,0.12724374639095037,0.08939786032509489,0.03088144577722529,middle,no
Liberia,LBR,21.0,0.1262441589516632,0.046197512348138625,0.017312309542785842,low,no
Libya,LBY,23.0,0.1156340734464032,0.11345515345056922,0.0005565456236718003,middle,no
"Macao SAR, China",MAC,39.0,0.12579585893281586,0.04732542912309401,0.028585021401884347,high,no
Madagascar,MDG,61.0,0.14467583669464612,0.11059108017913455,0.019045927327302925,low,no
Malawi,MWI,43.0,0.2563157805364782,0.19911061741617386,0.03454343585621089,low,no
Malaysia,MYS,62.0,0.12391751380088789,0.03352654218458051,0.06013658581839443,middle,no
Maldives,MDV,28.0,0.14404121640277867,0.06119083372876166,0.053457813062021575,middle,no
Mali,MLI,56.0,0.11444709364303285,0.05647661531351189,0.039548386458815976,low,no
Mauritania,MRT,30.0,0.1402351903262411,0.07477270458343455,0.03435769953388146,middle,no
Mauritius,MUS,47.0,0.13760292499699522,0.06713525474775217,0.04008794397029125,middle,no
Mexico,MEX,63.0,0.22742412103895537,0.17304857862194511,0.03570028906452172,middle,yes
"Micronesia, Fed. Sts.",FSM,27.0,0.044244848223003785,0.022943514002474075,0.0004205852930836418,middle,no
