country_code,country,gdp,labor,human_capital,physical_capital
IND,India,9142121.0,497.61572265625,2.1711645126342773,0.40523290634155273
IRL,Ireland,496383.5,2.2604477405548096,3.185516834259033,0.034118834882974625
IRN,Iran (Islamic Republic of),1087768.0,24.594810485839844,2.517744302749634,0.03881395235657692
IRQ,Iraq,458890.15625,8.772139549255371,2.2889058589935303,0.02525336854159832
ISL,Iceland,18182.48046875,0.19233807921409607,3.2822329998016357,0.0010229239705950022
ISR,Israel,329783.3125,4.228710174560547,3.891540050506592,0.014654455706477165
ITA,Italy,2462820.0,25.596328735351562,3.1583850383758545,0.18933972716331482
JAM,Jamaica,25149.857421875,1.2448999881744385,2.599545955657959,0.0014132881769910455
JOR,Jordan,109624.8125,2.459289789199829,2.9021859169006348,0.0031977437902241945
JPN,Japan,5031850.0,69.97669219970703,3.593987226486206,0.32562485337257385
KAZ,Kazakhstan,520080.21875,8.82071304321289,3.110008716583252,0.019666088744997978
KEN,Kenya,223246.234375,25.07402229309082,2.346707344055176,0.00574574526399374
KGZ,Kyrgyzstan,39531.11328125,2.670628070831299,3.5498313903808594,0.0010636659571900964
KOR,Republic of Korea,2156917.25,26.798534393310547,3.765122890472412,0.13990215957164764
KWT,Kuwait,253742.59375,2.372540235519409,2.2724850177764893,0.015302194282412529
LAO,Lao People's DR,54361.5,3.6188180446624756,1.9430067539215088,0.0025743860751390457
LKA,Sri Lanka,283475.25,8.180496215820312,2.8580374717712402,0.008438230492174625
LSO,Lesotho,5820.875,0.6667981743812561,1.6994621753692627,0.0003133943537250161
LTU,Lithuania,90408.3046875,1.3795286417007446,3.296741008758545,0.003948184661567211
LUX,Luxembourg,56199.69140625,0.460662841796875,3.619642972946167,0.0028164538089185953
LVA,Latvia,56482.9375,0.8965887427330017,3.1564202308654785,0.0038700776640325785
MAC,"China, Macao SAR",60140.26171875,0.387800008058548,2.9624180793762207,0.002096943324431777
MAR,Morocco,289744.21875,11.522297859191895,1.9357943534851074,0.016988255083560944
MDA,Republic of Moldova,38440.0078125,1.4288779497146606,3.5806031227111816,0.001238581957295537
MEX,Mexico,2391290.0,54.993595123291016,2.777052879333496,0.11105507612228394
MLT,Malta,17330.59765625,0.22019051015377045,3.163501024246216,0.0007340861484408379
MNG,Mongolia,38103.8984375,1.3765348196029663,3.0554988384246826,0.004057626239955425
MOZ,Mozambique,37394.9140625,11.01795768737793,1.2284468412399292,0.0018085158662870526
MRT,Mauritania,21248.322265625,1.1290662288665771,1.82578706741333,0.0014902091352269053
