country,iso code,observations,money growth,inflation,gdp growth,nominal interest rate,exchange rate depreciation,income group,oecd
North Macedonia,MKD,18.0,0.09347781572150948,0.030620915632902035,0.025845620597866548,0.08281918022903273,0.010210869306322534,middle,no
Norway,NOR,10.0,0.06045662834670584,0.04978667133069359,0.016996638908761907,0.03251416666666666,0.05625088583238602,high,yes
Oman,OMN,34.0,0.09626711817199118,0.030758904600102,0.040905281092839196,0.08215461893642129,0.0032552219909249835,high,no
Pakistan,PAK,18.0,0.14689416680041978,0.09482195656805437,0.03937200777223704,0.11086858061796931,0.062354838536474055,middle,no
Panama,PAN,13.0,0.10346646107669244,0.019841542954587732,0.06004841004773542,0.09875880052151233,0.0,high,no
Papua New Guinea,PNG,37.0,0.10320299723105997,0.06788884648285665,0.03683978027826118,0.11990599099099099,0.039627685323049944,middle,no
Paraguay,PRY,28.0,0.13421795981581197,0.08103830224857766,0.029666153445363275,0.286457954787065,0.048112666226396206,middle,no
Peru,PER,37.0,0.5688724390963422,0.48676589342725474,0.033758926740149464,2.017141943258387,0.42601719953668193,middle,no
Philippines,PHL,44.0,0.15819979118226835,0.0775770707970238,0.04020911479524858,0.12946918560594697,0.04615930666714241,middle,no
Qatar,QAT,19.0,0.1528352914248705,0.03977796135194578,0.07547874550746836,0.0553906055083169,0.0,high,no
Romania,ROU,30.0,0.27090309244540434,0.21511186860183318,0.03180220090242991,0.28314240454227674,0.1527381169418296,high,no
Russian Federation,RUS,20.0,0.2061546247802315,0.10734015928378815,0.029411991712137597,0.11447708333333331,0.04878595091510585,middle,no
Rwanda,RWA,25.0,0.1620510064019769,0.06046176832307282,0.07385632033858491,0.1660903333333334,0.04790803225768836,low,no
Samoa,WSM,22.0,0.07590285963403165,0.026244605466873017,0.015431901273197157,0.1034465499140772,-0.012177646610700532,middle,no
Sao Tome and Principe,STP,20.0,0.17661159163520201,0.10290937950435275,0.046485191620560196,0.2707721469190432,0.0478934203815522,middle,no
Senegal,SEN,13.0,0.11168678358228878,0.02214209714829063,0.04075053573762499,0.05240198717948719,0.008071492743903175,middle,no
Serbia,SRB,14.0,0.415031599140111,0.2225476413856553,0.035364709132483796,0.14006673849287435,0.21916065637140036,middle,no
Seychelles,SYC,34.0,0.11850561703533025,0.04420972331090245,0.03353741796283072,0.12595126036535825,0.02850345655457609,high,no
Sierra Leone,SLE,57.0,0.2634800257364409,0.21177568792223878,0.023541951825253093,0.20554005847953216,0.18678352314649138,low,no
Singapore,SGP,43.0,0.10486527247575173,0.018677650300631843,0.06105454048696024,0.06520310077488371,-0.011826065953640885,high,no
Solomon Islands,SLB,41.0,0.1373034648927116,0.08612425827253078,0.025736715567925117,0.12299857535011405,0.05712896260449574,middle,no
South Africa,ZAF,58.0,0.12867710882433947,0.09491274633667413,0.02483658511664788,0.12886163793103442,0.056467543175645396,middle,no
Sri Lanka,LKA,19.0,0.1713353741657182,0.08476648223694183,0.054822272465298694,0.11973986842105268,0.03925241039534022,middle,no
St. Kitts and Nevis,KNA,43.0,0.08632853931042894,0.029415480813862693,0.034503157988001076,0.09833763577802454,0.0,high,no
St. Lucia,LCA,42.0,0.07438414962960005,0.028467808709101483,0.02999914894885025,0.11110842974528853,0.0,middle,no
St. Vincent and the Grenadines,VCT,43.0,0.0717577896628272,0.029801068520202367,0.0292463033908561,0.10086462009777865,0.0,middle,no
Suriname,SUR,33.0,0.35953045522241034,0.34778098293513926,0.015557736221791574,0.17507014524629455,0.3471412221825718,middle,no
Sweden,SWE,15.0,0.06801152909142938,0.016298159778714183,0.02955186195804127,0.07360835555555555,0.01704199119717731,high,yes
Tajikistan,TJK,18.0,0.2897292335131674,0.1214586856514881,0.07349525077590124,0.23047140269806662,0.07552528483231802,middle,no
Tanzania,TZA,29.0,0.17832718685311355,0.12241201556885906,0.05401157317102889,0.19784910224956015,0.07565380108038378,middle,no
Thailand,THA,26.0,0.1664382521461074,0.050084338537820905,0.06244290471630354,0.12917467948717942,0.031626527242246905,middle,no
Timor-Leste,TLS,11.0,0.13246121103495412,0.05772999977075721,0.07079609384901131,0.13043050257817293,0.0,middle,no
Togo,TGO,13.0,0.14812542136372198,0.021778235285151215,0.047948079333477445,0.05371480769230771,0.008071492743903175,low,no
Tonga,TON,10.0,0.10119214692906886,0.019533677094757174,0.013238767647565153,0.08365132601330895,0.031086658731436678,middle,no
Trinidad and Tobago,TTO,44.0,0.08402490573382182,0.04542928381907241,0.021775818094621036,0.11572291666666669,0.024354285123706187,high,no
Uganda,UGA,25.0,0.16796034930289316,0.07764344788783584,0.0651696319766677,0.21148405870376838,0.05726243000547604,low,no
Ukraine,UKR,30.0,0.34315573058267534,0.34617089192235495,-0.01573215506812664,0.413590675,0.25427927175578446,middle,no
United Kingdom,GBR,48.0,0.11544002427106559,0.05959964561540776,0.023601240712609828,0.07368179166666664,0.011077942245768746,high,yes
United States,USA,62.0,0.0752393078496909,0.03295410958655309,0.029633966327883954,0.07032231182795698,0.0,high,yes
Uruguay,URY,47.0,0.3282437127714122,0.2794043538012787,0.023362829472857394,0.5539150611101118,0.22754672485171445,high,no
Uzbekistan,UZB,10.0,0.22975027055128727,0.1500838614987008,0.056936533468175954,0.18392853465490172,0.20293712590188506,middle,no
Vanuatu,VUT,10.0,0.08331664128626293,0.03218331538228303,0.019712241197856306,0.09934746658524568,0.02235231501912449,middle,no
Vietnam,VNM,27.0,0.2331904078019007,0.07842090854021899,0.06312666236439068,0.10791880731922399,0.029122307398927072,middle,no
"Yemen, Rep.",YEM,18.0,0.15377441001875858,0.11832898579128281,0.033442787558879195,0.20713425925925924,0.04973650877866986,low,no
Zambia,ZMB,28.0,0.2586127921206627,0.16959000072161268,0.04477702366931835,0.3067096369047618,0.1469426162372265,middle,no
